구분,유저,챗봇
질의 가려움,분비물이 나오면 가렵습니다. ,임신기간중에 질 분비물이 많아지는 것은 보통입니다. 질 분비물이 많아도 냄새가 심하지 않다면 문제는 없습니다. 그러나 위의 증세가 있다면 검사가 필요합니다. 
질의 가려움,냉이 나오면 가렵습니다. ,임신기간중에 질 분비물이 많아지는 것은 보통입니다. 질 분비물이 많아도 냄새가 심하지 않다면 문제는 없습니다. 그러나 위의 증세가 있다면 검사가 필요합니다. 
약물복용,임신초기에 약 복용,약물로 인하여 기형이 발생하는 것은 전체의 4%정도로 생각보다 많은 비중을 차지하지는 않습니다. 어떠한 약제와 약물을 복용하였는지 전문의와 상담을 추천드립니다. 
약물복용,임신중 약물 복용,약물로 인하여 기형이 발생하는 것은 전체의 4%정도로 생각보다 많은 비중을 차지하지는 않습니다. 어떠한 약제와 약물을 복용하였는지 전문의와 상담을 추천드립니다. 
,임신중 예방주사를 맞아도 되나요,독감백신은 사백신이므로 임신에는 전혀 영향이 없습니다. 
두통,머리가 아파요,전통제를 먹으면서 진통완화를 해보시길 바랍니다. 보통은 임신 중기에 두통의 강도와 횟수가 줄어들게 됩니다. 임신 중기 이후에도 두통이 있다면 병원에 내원해 보시길 추천드립니다. 
두통,편두통이 심해요,전통제를 먹으면서 진통완화를 해보시길 바랍니다. 보통은 임신 중기에 두통의 강도와 횟수가 줄어들게 됩니다. 임신 중기 이후에도 두통이 있다면 병원에 내원해 보시길 추천드립니다. 
,사랑니를 뽑아도 되나요,"사랑니에 염증이 있다면 뽑으셔도 무관합니디ㅏ. 임신 중기부터는 국소 마취제, 항생제, 소염진통제는 태아에 영향이 없습니다. "
,사랑니에 염증이 있어요,"사랑니에 염증이 있다면 뽑으셔도 무관합니디ㅏ. 임신 중기부터는 국소 마취제, 항생제, 소염진통제는 태아에 영향이 없습니다. "
,변비가 심해요,"임신중에 변비는 임신오조 등으로 인한 수분섭취의 부족, 철분제 복용, 운동량감소로 일어 날 수 있습니다. 이를 방지하기 위해서는 충분한 수분의 섭취와 섬유질 섭취, 그리고 적당한 운동이 필요합니다.  치질 증상의 경우에는 변비약, 국소용 진통제, 좌욕등이 증상을 감소시킬 수 있습니다. 이와 같은 처치는 의사와 상담을 추천드립니다. "
,치질 증상이 있어요,"임신중에 변비는 임신오조 등으로 인한 수분섭취의 부족, 철분제 복용, 운동량감소로 일어 날 수 있습니다. 이를 방지하기 위해서는 충분한 수분의 섭취와 섬유질 섭취, 그리고 적당한 운동이 필요합니다.  치질 증상의 경우에는 변비약, 국소용 진통제, 좌욕등이 증상을 감소시킬 수 있습니다. 이와 같은 처치는 의사와 상담을 추천드립니다. "
,다리가 저립니다. ,"임신중에는 다리가 뭉치고, 쥐가나는 현상은 혈액 순환이 좋지 않아서 생기는 경우 마그네슘과 미네랄 결핍이으로 증상이 심해지기도 합니다. 마사지와 미네랄이 포함된 종합 영양제가 도움이 될 수 있습니다. "
,다리가 뭉칩니다. ,"임신중에는 다리가 뭉치고, 쥐가나는 현상은 혈액 순환이 좋지 않아서 생기는 경우 마그네슘과 미네랄 결핍이으로 증상이 심해지기도 합니다. 마사지와 미네랄이 포함된 종합 영양제가 도움이 될 수 있습니다. "
,골반이 아픕니다. ,"임신 후반기에 가서 골반뼈나 허리뼈 통증을 많이 호소합니다. 평산시의 자궁위치가 정상위치보다 후굴이거나, 한쪽으로 많이 치우쳐 있다면 초기부터 아플 수도 있습니다. 정형외과를 방문하셔서 척추의 이상이 없는지 확인을 권장합니다 "
,허리가 아픕니다. ,"임신 후반기에 가서 골반뼈나 허리뼈 통증을 많이 호소합니다. 평산시의 자궁위치가 정상위치보다 후굴이거나, 한쪽으로 많이 치우쳐 있다면 초기부터 아플 수도 있습니다. 정형외과를 방문하셔서 척추의 이상이 없는지 확인을 권장합니다 "
,오르가즘을 느끼면 아이에게 해가 되나요,임신중 오르가즘을 느껴도 아이에게 많은 문제가 되지 않습니다. 다만 조산기가 있는 경우 조산의 위험이 있습ㄴ지다. 그런 경우가 아니라면 관계없습니다. 다만 임신 초기에는 성관계를 조심하셔야 합니다. 
,오르가즘을 느껴도 문제가 없나요,임신중 오르가즘을 느껴도 아이에게 많은 문제가 되지 않습니다. 다만 조산기가 있는 경우 조산의 위험이 있습ㄴ지다. 그런 경우가 아니라면 관계없습니다. 다만 임신 초기에는 성관계를 조심하셔야 합니다. 
,커피를 마셔도 되나요,카페인의 기형유발성에 대한 의학적 증거는 없습니다. 하루에 500mg이상의 커피를 마셨을때 자연 유산율이 높다는 의학 보고가 있습니다. 2002년 미국식이협회에서는 하루에 300mg이하로 커피 마실것을 권장하고 있습니다. 
,술을 마셨어요,알코올은 태아 기형을 일으킬 수 있습니다. 하지만 보통은 임신 기간 내내 과음하는 경우에 문제가 됩니다. 
,담배를 피는것이 문제가 되나요,임신중의 흡연은 태아의 성장에 직접적이 영향을 줍니다. 금연하시길 바랍니다
,담배를 해도 되나요,임신중의 흡연은 태아의 성장에 직접적이 영향을 줍니다. 금연하시길 바랍니다
,철분제는 언제 부터 먹어야 하나요,철분제는 소화장애가 있어서 일반적으로 요구량이 증가되는 임신 20주 이후부터 복용을 권장합니다. 
,칼슘제를 추천해 주세요,임신 중에는 철분제제를 챙겨드셔야 하나 칼슘은 식사에 추가해서 드실 필요는 없습니다. 
,양수검사를 해도 되냐요,양수검사는 위험이나 비용의 문제가 있습니다. 노산이라던가 염색체 이상의 가능성이 높은 경우 양수검사를 고려해보는 것을 추천드립니다. 
,정밀 초음파 검사는 언제 받아야 하나요,정밀 초음파 검사는 태아의 발육상태가 정상인지 확인하는데 사용됩니다. 그러나 검사를 시행하여도 모든 이상을 발견하기는 어렵습니다. 일반적인 기형은 대게 쉽게 찾을 수 있습니다. 
,양수량이 많아요,"양수량이 많은 경우에는 태아기형과 관련이 많으며 태가의 중추 신경계와 소화기계통의 기형과 관련이 있습니다. 산모에게도 조기 태반박리, 조산 혹은 분만후 출혈등 안좋은 영향을 미칩니다. "
,아이가 거꾸로 있습니다. ,분만 예정일 까지 기간이 많이 남았다면 정상적인 위치로 돌아올 가능성이 있습니다. 첫번째 임신에서 거꾸로 있는 상태라면 제왕절개를 새행하는 것이 안전한 방법입니다.
,제왕절개후 모유수유를 할 수 있나요?,제왕절개를 했다고 모유수유가 불가능 한것은 아닙니다. 모유분비량은 개인차가 있습니다. 모유분비량이 적다고 포기하는 일을 없도록 하십시오. 
,출산 예정일이 지났어요,일반적으로 정상적인 분만시기는 37-42주입니다. 42주가 지나면 태아의 상태가 좋지 않은 확률이 증가하므로 그전에 분만할것을 권장합니다. 주치의의 의견을 따르시길 바랍니다. 
,출산후 생리는 언제하나요,"모유수유를 하지 않은 여성의 70프로는 12주이내에 월경이 시작되며 , 평균으저긍로는 7-9주 이내에 시작합니다. "
,함몰유두인데 모유수유가 가능한가요,심각한 함몰유두가 아니라면 모유수유는 가능합니다. 
,배란중 출혈은 괜찮은 건가요?,"배란기때 나는 출혈은 호르몬 변화에 따른 출혈로 진단 할 수 있고, 이상소견은 아닙니다. 정확한 진단을 받아보시기를 권장합니다. "
,임신 중에 머리카락이 너무 많이 빠집니다. 출산 전에 머리카락이 많이 빠지기도 하나요?,남성 호르몬이 많이 분비되는 경우에 탈모가 일어날 수 있는데 출산 후에 탈모가 있는 경우는 비교적 흔하게 나타나지만 임신 중의 탈모는 드문 경우이므로 임신으로 인한 스트레스가 원인으로 작용할 수도 있습니다. 심각한 원형 탈모 등이 아니면 좀 더 관찰해 보시고 갈수록 심해진다면 임신이 원인이 아닐 수 있으므로 피부과에서 상담을 받아 보시는 게 좋을 듯 합니다.
,며칠 전부터 소변 끝에 약간의 피가 묻어 나는데 괜찮은지요? 첫 아이때 유산기가 심해서 6개월까지 하혈했던 기억이 있어 불안합니다.,"약간의 출혈이 있는 것은 안정을 취하고 있으면 대부분 멎고 좋아집니다. 그러나 출혈량이 계속 줄어들지 않거나, 증가하는 양상이면서 배까지 아프면 미리 병원에 가셔서 진찰을 받으시는 것이 좋습니다."
,엽산제는 언제까지 복용해야 하나요?,"엽산은 태아의 기형을 예방하는데 많은 도움을 주는데, 현재 임신 4개월에 접어들었으면 태아의 장기는 모두 형성된 상태입니다."
,철분제는 언제부터 언제까지 먹어야 하는지 알고 싶습니다.,"철분제는 빈혈이 있는 경우에는 임신 4개월, 빈혈이 없는 경우에는 임신 5개월 정도부터 복용하는 것이 좋습니다. 근래에 나오는 철분제들은 위장관 장애가 매우 적지만, 간혹 임신으로 인한 오심, 구토, 변비, 설사 등의 증상을 악화시킬 수가 있습니다. 임신 초기이더라도 빈혈이 심한 상태이면 담당선생님과 상의하여 철분제를 복용하시는 것이 좋습니다. 분만 때까지 복용하여야 하며, 분만 후에 빈혈이 있거나 모유수유 시에는 2개월 정도 더 복용하시는 것이 좋습니다."
,왼쪽가슴 바로 밑이 찌르듯이 아픕니다. 짓눌리는 느낌도 들고 명치라고 하나요? 음식을 먹으면 통증이 더 심해집니다. 꼬이듯 아프고 통증이 심한데 큰 문제인가요?,명치끝이 아프고 또 음식을 먹으면 더 아프시다는 것으로 봐서는 위장의 문제인 것으로 보입니다. 임신 중에는 자궁이 커지면서 위장이 위쪽으로 밀려가서 위 역류나 소화불량 등의 증상이 발생하게 됩니다. 증상이 심하시다면 약 처방을 받아 복용하실 수 있습니다.
,임산부는 약도 못 먹는 걸로 아는데 체하거나 배탈이 나서 설사를 할 때는 어떻게 해야 하나요?,"임신 기간 동안, 태아의 장기가 형성되는 시기(수정 후 3주~8주, 생리가 규칙적인 경우에는 마지막 생리 시작 후 5주~10주)를 제외하고는 대부분의 약들은 태아에게 큰 영향을 주지는 않습니다. 물 론, 임신 기간 내내 절대 복용하지 말아야 할 약물들도 있습니다. 
체하거나 설사를 하는 경우에 복용하는 약물들(소화제, 설사약)은 태아에게 거의 문제가 없습니다."
,정밀초음파검사 시 우리아기의 머릿속에 물 혹이 있다고 그러더라고요. 8개월쯤 되면 없어질 거라며 걱정 말라고 하셨는데 그래도 제 맘은 그게 아닙니다. 너무 걱정되고 불안합니다,"물 혹이라고 하면서 없어질 거라고 했다면 아마도 맥락막총 낭종 (choroid plexus cyst)일 가능성이 높습니다. 정상아의 1% 정도에서 나타났다 사라진다고 하는데 드물게 염색체 이상이 있는 아기가 있을 수 있으며, 다른 기형이 동반되어 있으면 양수검사를 시행하는 것이 바람직합니다. 대부분의 맥락막총 낭종은 정 상적인 경우이니 너무 미리 염려하지 마세요."
,일반초음파와 정밀초음파는 어떻게 다른지요?,"임신 시 초음파 검사는 임신주수 예측, 태아크기 평가, 태아기형 유무, 양수량 측정, 태반의 위치, 자궁 및 난소의 평가를 위해서 반드시 필요한 검사 중의 하나입니다. 

산전 초음파 검사는 산전 진찰 방문 시마다 매번 하게 되는 것이 아니고 필요한 정보를 얻고자 하는 시기에 따라 시행합니다. 
정밀 초음파는 보통 임신 20~24주경 초음파에 숙련된 사람에 의해서 태아의 구조적 이상을 평가하는 검사로 일반 초음파 보다는 가격이 비싸지만 여러 가지 기형을 조기에 진단할 수 있는 검사입니다. 
과거 기형이 있는 태아를 분만한 경우, 일반 초음파에서 이상소견이 있는 경우, 고령의 산모, 혈청 기형아 검사에서 이상소견이 있는 경우에는 반드시 정밀 초음파를 시행하는 것이 좋겠고 건강한 일반 산모는 정밀초음파가 필수사항은 아닙니다."
,임신중에 체중은 얼마정도 늘어나나요,"만삭 임신 시에 정상 범주의 체중을 가진 산모에서 체중의 증가는 임신 전 보다 11.5kg~16kg의 증가가 이상적입니다. 저체중의 산모는 이 보다 1~2kg 많게 그리고 과체중의 산모는 이 보다 4kg 적은 체중의 증가가 이상적입니다. 
산모의 체중 증가와 신생아 체중과는 상관관계가 많으며, 임신성 당뇨병, 임신 중독증과 인과 관계가 있습니다만, 체중증가만 가지고 임신 중 나쁜 예후를 말하기는 어렵습니다. 
참고로 임신 중의 체중 증가는 임신 10주에 650gm, 임신 20주에 4kg, 임신 30주에 8.5kg, 임신 40주에 12.5kg입니다."
,임신 사실을 알고 난 후 분비물이 많아졌는데요. 얼마 전부터는 분비물 외 물 같은 것이 나오거든요. 어떤 날은 속옷이 축축하게 젖을 정도로 물 같은 것이 나와서 혹시 어떤 문제 가있는건 아닌지 걱정되어서 문의 드립니다,"임신을 하게 되면 자궁 경부와 질에서 분비물이 증가하기 때문에 이 와 같은 증상을 호소하시는 분들이 많습니다. 또한 임신 중 질염이 발생하는 경우에도 분비물이 증가할 수 있습니 
다. 분비물 증가와 함께 가려움증이나 통증 등의 증상이 있으면 병원에 가셔서 검사를 받아보시고 치료를 받으시는 것이 좋겠습니다. 
분비물이 물처럼 계속 흐르는 경우에는 양막이 파열되었는지를 확인하는 것이 좋겠습니다. 양막 파열 유무는 간단한 검사로 확인할 수 있고, 초음파로 양수량이 줄어들었는지 확인할 수 있으니 다니시는 병원에 가셔서 검사를 해보시길 바랍니다."
,하지정맥류 관리는 어떻게 하나요,"임신 중에는 체중이 증가하고 자궁이 커짐에 따라 하지정맥의 압력이 증가하여 일반적으로 정맥류가 심해지는 경향이 있습니다. 특히 오래 서있는 경우에 더 심해지지요. 
임신 중의 처치로는 주기적으로 다리를 올린 상태로 휴식을 취하는 것과 탄력스타킹(의료기기를 파는 곳에서 구할 수 있습니다)을 착용하여 혈액순환을 돕는 것입니다. 
음식과는 관계가 없으나 지나치게 짠 음식은 피하시는 것이 좋습니다."
,입덧 중에도 소화불량에 걸리는 경우가 있나요?,"임신 초기 입덧은 산모에게 스트레스가 될 수 있습니다. 입덧에 대한 완치 약은 없고, 시간이 지나면 서서히 입덧도 좋아지게 되지만 입덧 때문에 많이 힘들어 하시는 산모들에게 도움이 되는(태 아에게도 안전한)약은 있습니다. 

물론 소화가 잘 안 되는 경우 소화제를 드셔도 큰 문제는 없습니다. 
그러나 어떤 소화제를 드실 지, 입덧에 도움이 되는 어떤 약을 드실지는 산부인과 선생님과 상의를 하셔서 복용해야 합니다."
,양 수가 적으면 진통도 잘 못 느낀다고 하던데 어떻게 해야 하나요?,"양수가 적다고 진통을 못 느낀다거나 자연분만이 어렵지는 않습니다. 양수가 적으면 태아가 자유롭게 움직이기 어려워져 태동이 감소할 수는 있습니다. 너무 걱정 마시고 매주 1~2번씩 병원에 가셔서 태동검사와 초음파검사를 받아보시고 주치의 선생님과 잘 상의하시기 바랍니다. 평상시보다 태동이 유달리 감소한다든지, 다른 이상 증상이 있을 때는 곧바로 병원으로 가시기 바랍니다."
,손저림 증상의 원인은 무엇인가요,손저림 현상은 임신 중반기 이후에 흔한 증상으로 주변 조직의 부종으로 손목을 통과하는 신경이 눌리므로 나타나는 증상입니다. 대부분 아침에 심하고 손목을 움직이면서 증상이 나아집니다. 특별한 방법은 없으며 출산 후에 대부분 좋아집니다. 손목 운동을 하고 따뜻한 물에 손을 담그는 방법도 효과가 있습니다. 음식을 짜고 맵게 섭취하지 않는 것도 임신 중 부종을 예방합니다.
,모유수유를 중단해야 임신이 가능한가요,"수유하지 않는 산모에서 정상월경의 재개는 산후 6~8주, 수유하는 산모는 산후 2개월 내지 18개월로, 정상월경의 재개에 차이가 있습니다. 배란의 재개도 수유하는 산모에서 늦게 일어나고 또 언제 배란이 재개될지는 예측이 어렵고 가능성도 희박하지만, 빠른 경우에는 산후 3주부터 배란이 시작될 수 있는 것으로 알려져 있습니다."
,출산후 부부관계에 출혈이 있습니다. ,"출산 후 3개월이 되었으면 자궁이 정상으로 돌아온 상태입니다. 성교시 출혈이 있다면 자궁경부가 많이 헐어있거나 염증 등의 원인이 있으며, 기타 더 나쁜 원인도 있을 수 있습니다. 그러므로 산부인과에서 자궁경부암 검사 등을 받아보시기를 권해드립니다."
,출산 후 부터 생리가 불규칙해요,출산 후 생리가 회복될 때는 약간의 불규칙성이 있기도 합니다. 출혈이 너무 심하면 빈혈이 올 수 있으므로 진찰이 필요하지만 그렇지 않으면 1주일 정도 빨리 하는 것은 일시적인 현상일 수 있으므로 지켜 볼 수 있습니다. 생리가 돌아오면 임신이 되므로 가족계획을 원하면 적절한 피임을 해야 합니다.
,B형 간염 보균자가 아기에게 미치는 옇향,"신생아에게 면역 글로불린과 예방접종이 출생 직후 그리고, 그 후에 스케줄대로 접종되었다면, B형 간염 보균자의 모유수유는 원칙적으로 금기 사항이 아닙니다. 그러나 엄마의 간 효소 수치가 1,000이상이라면, 엄마의 전신 상태가 불량한 상태이기 때문에 이 경우에 아기 에 대한 감염 여부를 떠나서, 엄마의 전신 상태 때문에 모유 수유를 하지 않는 것이 바람직합니다."
,생리없이 임신이 되기도 하나요,"보통 수유 중에는 피임이 필요 없다고 생각하는 분들이 많습니다. 
그러나 수유 중이라 하더라도 분만 후 3개월 이후의 시기부터는 피임이 필요하다고 알려져 있습니다. 수유 중에 무월경 상태로 지내다가 갑자기 임신이 되는 경우도 종종 있으며 임신 상태를 잘 모르고 지내는 경우도 볼 수 있습니다. 특히 수유 중에도 수유양이 적거나 분유와 같이 먹이는 경우 피임은 필요합니다."
,아기 머리가 크면 꼭 유도분만을 해야하나요,"가끔 다른 부위의 크기는 정상이나, 두위(머리)가 큰 경우가 종종 있으며, 뇌수종 등의 선천적 질환이 없는 경우에는 태아에게 이상이 없으나, 머리가 너무 클 경우 자연분만이 어려울 가능성이 높다는 것이 문제입니다. 
이럴 경우, 더 크기 전에 유도 분만 할 수도 있고, 더 기다린 후에 유도 분만을 하여도 힘들 경우라고 판단될 경우 수술을 할 수도 있습니다. 그러나 이 모든 것도 담당 선생님과 충분한 상의 후 결정하시는 것이 좋을 듯 합니다."
,남편도 엽산을 복용해야 하나요,"A 엽산은 아기 신경관 결손 발생을 감소시켜주는 효과가 있어서 임신을 준비 중인 여성분은 임신 전 부터 복용할 것을 권하고 있습니다. 
남편 분은 엽산을 복용하실 필요가 없습니다. 본인만 드시고 임신 초기 3개월까지만 드시면 됩니다."
,생리가 늦어지면서 배란일을 맞추기가 어렵습니다. ,"생리주기가 며칠씩 틀려질 수 있지만 건강상에 문제가 있는 것은 아닙니다. 생리를 한주기씩 거르거나 안할 때가 문제인 것이지요. 
하루씩 틀려지는 정도는 규칙적으로 생리를 한다고 말할 수 있습니다. 하지만 이렇게 생리주기가 틀릴 때는 배란일을 맞추기가 어렵습니다. 일반적으로 배란일은 다음번 생리예정일에서 14일 전이 배란일이 됩니다. 즉 28일 생리주기일 때는 생리 시작 후 14일째가 배란일이고 35일 생리 주기일 때는 생리 시작 후 21일째가 배란일이 됩니다. 그러나 생리 주기가 매번 바뀔 때에는 일괄적인 적용이 어렵습니다. 피임을 안하신지가 얼마 되지 않았네요. 굳이 배란일을 신경 쓰지 않고 자연스럽게 임신 시도하는 것도 좋을 것 같습니다."
,임신을 원하는데 자궁근종으로 임신이 잘 안되는 걸까요,"자궁근종은 생리량이 많아지거나 생리통을 일으킬 수 있고 또 불규칙한 질 출혈의 원인이 되기도 합니다. 
하지만 그 증상은 크기와 위치에 따라 다르게 나타납니다. 자궁근종이 있다고 해서 불임이 되는 것은 아니지만 불임의 다른 원인이 발견되지 않았다면 자궁근종 때문에 임신이 안되는가 생각해 볼 수 있습니다. 그런데 임신이 잘 안된다고 하셨는데 피임을 안 하고 배란기에 맞춰서 잠자리를 가졌는데도 임신이 몇 개월 동안 안되는지 궁금합니다. 만약 1년이 지나도 임신이 안 되는 것이라면 자궁근종에 대한 수술을 고려해 볼 수도 있지만 그런 것이 아니라면 조금 더 기다려 보시는 것도 좋겠습니다."
